nohup: ignoring input
OpenBLAS WARNING - could not determine the L2 cache size on this system, assuming 256k
2026-05-13 08:43:53,759 - utils.data_fetcher - INFO - Fetching data for EURAUD=X (EURAUD=X) on 1h timeframe
2026-05-13 08:43:53,759 - utils.data_fetcher - INFO - Fetching data for NZDUSD=X (NZDUSD=X) on 1h timeframe
2026-05-13 08:43:53,759 - utils.data_fetcher - INFO - Fetching data for EURGBP=X (EURGBP=X) on 1h timeframe
2026-05-13 08:43:53,759 - utils.data_fetcher - INFO - Fetching data for EURJPY=X (EURJPY=X) on 1h timeframe
2026-05-13 08:43:53,799 - utils.data_fetcher - INFO - Successfully fetched 122 candles for EURJPY=X
2026-05-13 08:43:53,801 - utils.data_fetcher - INFO - Successfully fetched 122 candles for NZDUSD=X
2026-05-13 08:43:53,818 - utils.data_fetcher - INFO - Successfully fetched 122 candles for GBPJPY=X
2026-05-13 08:43:53,820 - utils.data_fetcher - INFO - Successfully fetched 122 candles for EURGBP=X
2026-05-13 08:43:53,821 - utils.data_fetcher - INFO - Successfully fetched 122 candles for EURAUD=X
2026-05-13 08:43:53,816 - utils.data_fetcher - INFO - Successfully fetched 122 candles for EURCHF=X
2026-05-13 08:43:55,822 - utils.data_fetcher - INFO - Fetching data for EURJPY=X (EURJPY=X) on 4h timeframe
2026-05-13 08:43:55,823 - utils.data_fetcher - INFO - Fetching data for NZDUSD=X (NZDUSD=X) on 4h timeframe
2026-05-13 08:43:55,824 - utils.data_fetcher - INFO - Fetching data for GBPJPY=X (GBPJPY=X) on 4h timeframe
2026-05-13 08:43:55,824 - utils.data_fetcher - INFO - Fetching data for EURGBP=X (EURGBP=X) on 4h timeframe
2026-05-13 08:43:55,825 - utils.data_fetcher - INFO - Fetching data for EURAUD=X (EURAUD=X) on 4h timeframe
2026-05-13 08:43:55,826 - utils.data_fetcher - INFO - Fetching data for EURCHF=X (EURCHF=X) on 4h timeframe
2026-05-13 08:43:55,860 - utils.data_fetcher - INFO - Successfully fetched 134 candles for EURAUD=X
2026-05-13 08:43:55,862 - utils.data_fetcher - INFO - Successfully fetched 134 candles for EURJPY=X
2026-05-13 08:43:55,880 - utils.data_fetcher - INFO - Successfully fetched 134 candles for NZDUSD=X
2026-05-13 08:43:55,898 - utils.data_fetcher - INFO - Successfully fetched 134 candles for EURGBP=X
2026-05-13 08:43:55,940 - utils.data_fetcher - INFO - Successfully fetched 134 candles for EURCHF=X
2026-05-13 08:43:55,963 - utils.data_fetcher - INFO - Successfully fetched 134 candles for GBPJPY=X
2026-05-13 08:43:56,278 - master_brain - INFO - --- SIGNAL DEBUGGER ---
2026-05-13 08:43:56,279 - master_brain - INFO - agent1: HOLD (0%)
2026-05-13 08:43:56,279 - master_brain - INFO - agent2: HOLD (25%)
2026-05-13 08:43:56,279 - master_brain - INFO - agent3: HOLD (20%)
2026-05-13 08:43:56,279 - master_brain - INFO - agent4: BUY (49%)
2026-05-13 08:43:56,279 - master_brain - INFO - agent5: N/A (90%)
2026-05-13 08:43:56,279 - master_brain - INFO - REASON FOR HOLD: Only 1 BUY votes. Need 3.
2026-05-13 08:43:56,279 - master_brain - INFO - Analysis complete for EURAUD=X: HOLD (49%)
2026-05-13 08:43:56,282 - master_brain - INFO - Analyzing EURCAD=X on 1h timeframe
2026-05-13 08:43:56,285 - master_brain - INFO - --- SIGNAL DEBUGGER ---
2026-05-13 08:43:56,300 - master_brain - INFO - --- SIGNAL DEBUGGER ---
